product_1,product_2,num_baskets
148,159,10
124,201,6
62,220,8
54,179,6
54,221,8
54,251,9
54,255,13
179,221,7
179,251,5
179,255,7
221,251,7
221,255,10
251,255,13
67,206,8
66,69,6
66,103,10
66,212,7
66,239,7
69,103,9
69,212,10
69,239,7
103,212,13
103,239,8
212,239,6
2,24,10
2,74,9
2,171,8
2,222,12
24,74,7
24,171,12
24,222,8
74,171,11
74,222,8
171,222,11
83,97,12
83,138,9
83,208,16
97,138,6
97,208,11
138,208,6
43,53,5
43,73,8
43,226,6
53,73,9
53,226,7
73,226,12
82,105,10
49,115,11
49,122,11
115,122,10
26,67,9
26,157,14
26,182,6
67,157,8
67,182,8
157,182,5
67,187,7
67,222,17
187,222,8
16,32,10
16,154,4
16,183,10
32,154,9
32,183,11
154,183,15
13,57,11
13,60,7
13,84,11
13,155,8
57,60,4
57,84,11
57,155,9
60,84,9
60,155,5
84,155,11
141,165,10
141,172,10
141,216,9
141,224,12
165,172,13
165,216,13
165,224,10
172,216,11
172,224,9
216,224,6
59,66,10
59,118,7
59,212,9
66,118,8
118,212,5
44,62,6
44,73,9
44,89,9
44,197,9
62,73,8
62,89,9
62,197,4
73,89,10
73,197,7
89,197,14
29,95,8
29,144,9
95,144,12
69,162,6
69,245,12
162,245,7
29,60,8
29,81,7
29,167,12
60,81,6
60,167,8
81,167,13
7,16,6
7,21,8
7,129,7
7,182,12
16,21,6
16,129,7
16,182,9
21,129,10
21,182,11
129,182,15
100,138,9
100,250,15
138,250,12
37,161,5
69,85,7
69,188,6
69,196,10
85,188,8
85,196,4
188,196,8
124,193,8
32,54,9
32,235,8
32,252,20
54,235,8
54,252,10
235,252,6
66,98,10
25,30,9
25,185,7
30,185,3
92,156,7
92,160,11
92,170,9
156,160,10
156,170,8
160,170,15
49,75,8
49,85,10
49,160,13
75,85,11
75,160,7
85,160,3
124,147,6
4,136,7
135,147,9
163,181,6
163,193,7
163,245,8
163,249,8
181,193,8
181,245,6
181,249,8
193,245,4
193,249,8
245,249,12
29,152,8
29,173,9
29,234,10
152,173,8
152,234,10
173,234,10
164,212,9
16,202,9
86,97,7
86,176,10
86,222,4
97,176,7
97,222,13
176,222,6
78,136,8
78,166,6
